"","glottocode","GB954drmcC","GB553drmcC","GB591mC","GB852drmC","GB888drmcC","GB082cC","GB082c","GB083c","GB084c","GB133C","GB197C","GB110cC","GB285cc","GB020c","GB021c","GB022c","GB023c","GB038c","GB039c","GB041c","GB046C","GB049C","GB051c","GB052c","GB053c","GB054c","GB057c","GB058C","GB074c","GB075c","GB095C","GB096C","GB098C","GB107C","GB109C","GB110c","GB111C","GB147c","GB148c","GB149C","GB155C","GB192c","GB196C","GB198c","GB252c","GB253c","GB254c","GB262c","GB263c","GB264c","GB275c","GB276c","GB286c","GB291c","GB302c","GB303c","GB304c","GB309c","GB314c","GB315c","GB321c","GB322c","GB323c","GB329c","GB330c","GB331C","GB421c","GB422c","GB430c","GB431c","GB432c","GB433c","GB522C","GB560drmcC","GB569drmcC","GB580mcc","GB951drmcC","GB952drmcC","GB953drmcC","GB990drmcC","GB991drmcC","GB549drmc","GB551mC","GB553drmc","GB556EO","GB560drmc","GB561drmc","GB569drmc","GB590mC","GB620drmc","GB621drmc","GB622drmc","GB623drmc","GB624drmc","GB625mC","GB702drmC","GB703drmc","GB800EO","GB887drmc","GB888drmc","GB947mc","GB951drmc","GB952drmc","GB953drmc","GB954drmc","GB955drmc","GB990drmc","GB991drmc","GB251m","GB332EON","GB480m","GB500drm","GB501drm","GB510m","GB550m","GB551m","GB552m","GB555m","GB556m","GB557drm","GB558drm","GB559drm","GB563m","GB567drm","GB568drm","GB589m","GB590m","GB591m","GB595m","GB606m","GB625m","GB701drm","GB702drm","GB704drm","GB770m","GB777drm","GB800m","GB850drm","GB851drm","GB852drm","GB853drm","GB900EO","GB945m","GB949m","GB950m","GB995F","GB024e","GB025e","GB065e","GB130e","GB193e","GB203e","GB020","GB021","GB022","GB023","GB024","GB025","GB026","GB027","GB028","GB030","GB031","GB035","GB036","GB037","GB038","GB039","GB041","GB042","GB043","GB044","GB046","GB047","GB048","GB049","GB051","GB052","GB053","GB054","GB057","GB058","GB059","GB065","GB068","GB069","GB070","GB071","GB072","GB073","GB074","GB075","GB079","GB080","GB081","GB082","GB083","GB084","GB086","GB089","GB090","GB091","GB092","GB093","GB094","GB095","GB096","GB098","GB099","GB103","GB104","GB105","GB107","GB108","GB109","GB110","GB111","GB113","GB114","GB115","GB116","GB117","GB118","GB119","GB120","GB121","GB122","GB123","GB124","GB126","GB127","GB129","GB130","GB131","GB132","GB133","GB134","GB135","GB136","GB137","GB138","GB139","GB140","GB146","GB147","GB148","GB149","GB150","GB151","GB152","GB155","GB156","GB158","GB159","GB160","GB165","GB166","GB167","GB170","GB171","GB172","GB177","GB184","GB185","GB186","GB187","GB188","GB192","GB193","GB196","GB197","GB198","GB203","GB204","GB250","GB252","GB253","GB254","GB256","GB257","GB260","GB262","GB263","GB264","GB265","GB266","GB270","GB273","GB275","GB276","GB285","GB286","GB291","GB296","GB297","GB298","GB299","GB300","GB301","GB302","GB303","GB304","GB305","GB306","GB309","GB312","GB313","GB314","GB315","GB316","GB317","GB318","GB319","GB320","GB321","GB322","GB323","GB324","GB325","GB326","GB327","GB328","GB329","GB330","GB331","GB333","GB334","GB335","GB336","GB400","GB401","GB402","GB403","GB408","GB409","GB410","GB415","GB421","GB422","GB430","GB431","GB432","GB433","GB519","GB520","GB521","GB522"
"1204","mika1239","0","1","1","1","1","0","0","1","1","NA","NA","0","NA","NA","NA","NA","NA","?","1","0","0","?","NA","NA","NA","NA","?","0","NA","NA","0","1","1","1","1","0","0","NA","?","?","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","0","1","0","NA","?","NA","1","NA","NA","NA","NA","NA","?","?","?","?","?","?","1","?","?","1","NA","NA","1","NA","NA","NA","NA","NA","1","0","1","?","NA","1","NA","?","1","1","1","1","1","1","0","NA","bound","1","1","1","0","0","0","0","0","0","0","0","?","1","0","0","?","0","0","?","0","?","1","1","?","0","1","?","1","?","1","0","?","1","1","0","1","1","1","1","1","1","1","0","neither","1","1","0","?","?","?","1","1","2","?","0","0","0","0","?","?","?","?","1","0","0","?","?","?","?","1","0","0","0","0","0","?","?","?","0","0","0","0","?","0","1","1","?","0","1","1","1","?","0","0","1","1","1","0","1","1","?","1","1","1","1","0","1","0","1","1","0","0","1","0","1","1","1","0","0","1","1","1","0","?","?","0","0","0","0","0","0","?","?","0","1","0","0","1","1","?","0","1","0","1","?","?","0","?","?","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","?","0","1","0","0","2","0","0","0","?","?","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","?","0","0","0","?","?","0","?","0","0","0","1","1","?","0","0","0","0","0","0","0","0","0","0","0","?","?","?","?","?","?","?","?","?","?","?","0","0","0","0","1","0","0","0","?","?","?","1","?","?","0","0","0","1"
"1205","mikm1235","0","1","1","1","1","1","1","1","1","1","NA","0","?","NA","NA","NA","NA","NA","0","0","?","1","0","0","1","0","NA","NA","1","1","0","0","1","1","0","0","1","1","NA","1","?","0","NA","1","0","0","1","0","0","1","1","1","?","?","0","NA","1","0","0","0","0","NA","NA","NA","NA","0","1","0","NA","1","NA","1","1","1","NA","1","0","0","NA","0","1","1","1","1","NA","1","1","NA","0","1","1","1","0","1","1","1","0","?","1","1","?","0","0","0","0","1","0","1","1","decimal system","1","0","1","1","0","1","0","1","0","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1","1","0","conjoined clauses","1","?","1","adj-noun and dem-noun","1","1","1","1","1","1","0","0","0","0","1","1","?","1","1","0","0","0","0","1","0","0","0","0","0","1","?","?","1","1","0","0","1","0","0","0","0","1","1","0","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","1","0","1","0","0","0","1","0","0","?","1","1","1","0","0","1","1","1","1","0","0","?","0","0","0","?","0","?","1","0","0","1","1","1","1","?","?","0","0","1","1","1","0","1","0","1","0","0","0","?","?","0","0","0","0","0","0","1","0","0","0","1","1","0","1","1","0","1","0","0","1","1","1","1","0","0","1","0","?","?","0","0","1","1","0","1","1","1","1","?","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","?","0","0","0","1","0","0","?","0","0","0","0","1","0","1","0","1","0","0","1","0","1","1","1","0","1"
"1206","mila1245","0","1","NA","NA","1","0","0","1","0","NA","NA","0","0","1","1","0","1","0","0","0","0","1","NA","NA","NA","NA","1","NA","NA","NA","0","NA","NA","1","NA","0","0","NA","NA","NA","1","NA","NA","NA","1","0","0","0","1","1","1","0","1","0","NA","NA","NA","0","NA","NA","NA","0","1","1","0","NA","0","1","0","NA","1","NA","NA","NA","NA","1","0","0","NA","1","0","1","0","1","NA","NA","1","1","1","NA","NA","NA","NA","NA","0","0","NA","bound","1","1","1","0","0","0","0","1","1","0","1","decimal system","1","0","1","1","1","0","1","0","0","1","1","1","0","0","0","1","1","0","1","1","0","1","0","1","1","1","1","1","1","1","0","neither","1","1","1","?","2","NA","1","1","1","2","1","1","0","1","2","3","?","0","1","0","1","1","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","1","1","1","1","1","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","1","1","?","1","1","0","1","0","0","1","1","1","0","1","0","1","1","1","0","0","0","1","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","2","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","0","1","0","0","1"
"1207","mill1237","0","NA","0","?","1","1","1","1","1","1","NA","0","NA","NA","NA","NA","NA","NA","0","0","?","?","NA","NA","NA","NA","NA","NA","0","1","0","0","?","1","0","0","1","?","?","?","NA","NA","NA","NA","?","?","?","NA","NA","NA","?","?","1","0","?","?","?","?","NA","NA","NA","?","?","?","?","?","?","?","0","NA","1","NA","?","NA","NA","1","0","0","NA","0","1","0","0","1","?","NA","0","NA","1","1","1","1","1","1","1","?","NA","?","1","1","1","0","0","0","0","1","0","1","?","decimal system","1","0","?","?","0","0","0","?","?","1","1","?","1","0","0","1","1","0","?","?","1","?","?","?","1","1","?","?","?","?","?","?","1","1","0","adj-noun and dem-noun","1","1","1","1","1","1","0","0","0","0","1","1","0","?","0","0","0","1","0","0","0","0","0","0","0","1","?","?","?","?","0","0","0","0","0","0","0","1","?","0","1","0","1","0","0","1","0","1","0","1","1","1","?","1","0","1","0","0","1","0","0","?","0","0","0","?","1","?","0","0","1","0","?","?","0","1","0","0","0","0","?","?","0","0","?","0","1","0","0","1","?","?","?","0","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","0","?","0","0","0","0","0","0","0","?","?","0","1","0","0","0","1","?","?","?","?","?","?","0","0","0","0","0","?","?","?","?","?","?","0","1","0","?","0","0","0","0","?","?","?","?","?","?","?","1","0","0","0","0","0","0","0","0","0","?","?","0","?","0","?","?","?","?","?","1","1","0","0","?","?","?","?","1","0","0","0","?","?","0","0","1","0","?","?","?","?"
"1208","mina1276","0","0","0","0","1","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","0","0","0","?","NA","NA","NA","NA","NA","NA","1","0","0","0","0","0","0","0","0","NA","NA","0","NA","NA","NA","NA","1","0","1","0","1","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","?","?","1","0","0","1","0","NA","NA","NA","NA","1","NA","NA","0","0","0","NA","0","1","1","0","0","NA","NA","0","NA","0","0","0","1","0","1","1","?","NA","NA","1","1","NA","0","0","0","0","1","0","1","1","decimal system","1","1","1","1","0","0","0","0","0","1","1","1","1","0","0","1","0","0","?","1","1","?","?","?","1","1","0","1","1","0","1","marker of standard with elsewhere locational meaning","1","0","1","noun-adj and noun-dem","2","2","2","1","2","2","0","0","0","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","?","0","0","0","0","0","0","0","0","2","0","?","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","?","0","1","0","0","1","0","1","0","1","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","?","?","0","2","0","0","0","2","1","0","1","0","1","1","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","?","0","0","0","1","0","1","0","0","1","?","?","?","0","?","0","0","1","0","1","0","1","0","0","0","0","0","1","1","1","1"
"1209","minh1238","0","1","NA","NA","1","1","1","1","0","1","NA","0","NA","0","0","0","1","NA","0","0","1","?","NA","NA","NA","NA","NA","NA","0","1","0","NA","NA","0","NA","0","0","NA","NA","NA","1","NA","NA","NA","1","1","0","NA","NA","NA","?","?","1","0","NA","NA","NA","0","NA","NA","NA","0","1","NA","NA","NA","NA","NA","0","0","1","1","NA","NA","?","1","1","0","NA","1","1","1","0","1","NA","NA","?","0","1","NA","NA","NA","NA","NA","0","?","NA","?","1","1","1","1","0","0","0","1","1","1","1","decimal system","1","0","0","0","1","0","0","0","0","1","1","1","1","0","?","1","1","1","1","0","0","?","?","?","1","1","?","1","1","1","1","marker of standard with elsewhere locational meaning","1","1","0","adj-noun and dem-noun","NA","1","1","1","1","?","0","0","0","1","3","1","0","?","0","0","0","0","0","0","0","0","0","0","0","1","1","?","?","?","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1","0","0","0","0","?","0","0","0","0","1","0","0","1","1","1","1","0","0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","?","0","?","?","0","1","0","0","0","?","?","0","1","1","0","0","0","0","0","0","0","0","1","0","0","?","0","0","1","0","0","0","0","1","0","0","0","0","0","1","?","0","1","0","0","0","1","0","1","0","0","0","0","1","1","?","1","0","1","0","0","0","1","0","0","0","0","?","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1"
"1210","mini1256","0","1","0","?","1","NA","0","0","1","1","1","0","NA","NA","NA","NA","NA","?","0","?","?","1","1","0","?","0","?","NA","0","1","0","0","0","1","0","0","1","1","NA","0","?","0","1","NA","NA","NA","NA","NA","NA","NA","0","1","NA","NA","0","NA","1","1","0","0","0","NA","NA","NA","NA","1","?","?","NA","NA","NA","NA","1","NA","NA","1","0","1","0","0","1","1","1","1","NA","0","0","NA","0","1","1","0","0","1","1","?","0","non-bound","1","1","NA","0","1","0","0","1","0","1","0","?","1","0","0","?","0","1","?","1","0","1","1","1","1","0","0","1","0","0","0","0","1","?","?","?","1","1","1","?","?","?","?","?","1","0","0","adj-noun and dem-noun","1","1","2","1","1","?","0","0","0","0","1","1","0","1","0","1","1","1","0","1","0","0","?","0","1","1","?","1","1","1","1","0","?","0","?","0","0","2","1","0","1","1","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","?","?","0","1","1","0","0","1","?","?","?","0","0","?","0","0","0","?","?","1","?","0","0","1","0","0","1","1","?","1","1","0","1","?","0","1","0","0","1","1","1","1","0","1","0","1","0","0","?","0","0","0","?","0","0","0","?","?","0","1","1","1","0","?","?","1","0","0","0","0","1","0","0","0","0","0","?","0","?","0","1","0","0","0","?","0","0","1","?","0","0","0","1","0","?","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","?","?","?","?","0","?","?","?","1","0","0","0","?","?","0","0","0","0","0","0","0","1"
"1211","miri1266","?","1","?","0","0","1","1","1","1","NA","0","1","NA","NA","NA","NA","NA","0","0","0","0","1","1","0","0","0","1","0","NA","NA","0","0","1","?","0","1","0","?","?","0","NA","0","0","1","?","?","?","0","0","1","?","?","NA","NA","?","?","?","0","?","?","0","NA","NA","?","?","?","?","?","?","?","?","?","1","NA","NA","1","NA","NA","?","NA","NA","1","1","1","?","1","0","NA","?","1","1","1","1","0","1","?","?","?","1","0","NA","0","1","?","?","0","0","1","?","?","1","0","?","?","0","1","1","?","?","1","1","0","0","1","1","1","?","?","0","?","1","?","?","?","1","1","?","0","0","0","0","?","1","0","1","?","1","?","?","1","2","NA","0","0","0","0","1","?","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","1","0","1","?","0","0","0","0","1","1","0","0","0","1","0","1","1","1","0","0","1","0","1","0","1","0","0","1","0","1","1","0","?","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1","1","1","1","?","0","?","?","1","?","0","?","?","0","0","0","0","?","?","1","1","1","?","?","0","1","1","0","0","0","0","0","?","?","0","2","0","0","1","3","?","?","?","?","?","?","?","0","0","0","1","?","?","?","?","?","?","0","0","0","0","0","?","1","?","0","?","?","0","0","0","0","1","?","?","?","0","0","0","0","0","0","0","0","0","?","1","?","?","?","?","?","?","?","?","0","0","0","?","?","1","0","1","0","?","?","?","?","?","?","?","0","0","1"
"1212","misk1235","0","1","?","1","1","1","1","1","1","1","NA","1","NA","1","?","0","1","NA","0","0","0","1","NA","NA","NA","NA","NA","0","0","1","0","0","0","1","0","1","1","NA","NA","0","NA","NA","NA","NA","?","?","?","0","1","0","0","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1","1","?","?","?","?","?","?","?","?","NA","NA","1","0","0","NA","1","0","1","0","1","NA","NA","0","0","?","1","1","1","0","1","1","?","NA","non-bound","1","1","NA","0","0","0","0","1","1","0","?","neither","1","1","?","?","1","0","0","0","0","1","1","1","1","0","0","1","?","?","0","1","1","?","?","?","1","1","1","1","1","1","1","neither","1","0","1","adj-noun and noun-dem","2","1","1","1","2","2","1","?","0","1","2","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","1","0","0","1","1","1","?","0","1","1","1","0","1","1","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","0","1","1","1","1","1","1","?","0","?","0","0","1","0","0","1","1","1","1","1","0","1","?","0","0","0","0","1","1","1","0","?","1","0","1","0","0","0","0","0","0","0","0","0","0","?","?","0","2","0","0","0","2","1","?","?","?","?","?","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","?","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","1","1","?","0","0","1","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"1213","miwa1242","?","?","?","1","0","1","1","1","1","0","?","0","NA","NA","NA","NA","NA","NA","?","?","?","?","0","0","1","1","NA","0","0","1","0","0","0","0","0","0","?","1","?","0","0","?","?","1","?","?","?","?","1","1","?","?","NA","NA","?","?","1","0","0","0","0","?","?","NA","NA","?","?","?","?","?","?","?","?","?","NA","1","?","?","?","?","?","?","?","1","?","1","?","NA","?","1","1","1","1","0","1","NA","0","?","1","0","NA","?","?","?","?","?","?","?","?","neither","1","?","?","?","0","1","0","1","?","1","1","1","1","1","1","1","?","?","?","0","1","0","0","0","1","1","?","1","1","1","0","?","?","0","1","?","2","?","NA","1","?","?","0","0","0","0","2","?","?","?","1","?","0","0","0","0","0","0","0","?","0","0","?","?","?","?","0","0","1","1","0","0","1","3","?","?","0","0","1","?","0","1","1","1","0","1","1","1","1","0","1","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","?","1","1","1","0","0","0","?","?","?","1","1","0","0","0","1","1","0","1","0","?","?","0","0","1","1","?","?","1","0","0","0","0","0","0","?","1","1","?","0","0","0","1","1","0","0","?","?","0","0","0","?","?","0","0","1","?","?","?","?","?","?","?","1","0","?","1","1","?","?","0","?","?","?","0","0","0","?","0","0","1","0","?","?","?","1","0","0","0","1","0","0","0","0","0","0","0","0","0","?","?","0","0","1","1","?","0","0","?","0","0","0","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"1214","mixt1426","?","NA","NA","NA","NA","NA","0","0","1","?","NA","1","NA","NA","NA","NA","NA","?","?","?","?","1","1","1","1","1","?","0","1","?","0","NA","NA","1","NA","1","1","?","1","NA","NA","0","NA","?","NA","NA","NA","1","0","0","1","0","NA","NA","?","0","?","0","0","0","0","NA","NA","NA","NA","0","1","0","NA","1","NA","1","NA","?","NA","1","?","?","?","?","?","NA","?","NA","1","?","?","NA","NA","NA","NA","NA","NA","NA","0","1","0","bound","NA","NA","NA","?","?","?","?","?","?","?","0","?","0","1","0","1","0","1","?","?","1","1","1","1","1","0","?","1","0","1","0","0","0","1","1","1","1","1","1","0","0","0","0","marker of standard with elsewhere locational meaning","?","0","1","noun-adj and noun-dem","1","2","2","2","2","?","0","0","0","0","1","2","?","1","1","0","0","?","?","?","?","0","0","0","0","0","0","1","1","1","1","1","1","1","?","0","1","2","0","0","0","0","0","0","1","?","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","1","?","0","1","0","?","?","1","1","?","?","2","1","0","0","1","1","1","0","0","1","?","0","0","1","0","?","0","0","1","0","0","0","1","0","0","?","0","?","0","0","0","?","0","1","1","0","2","0","0","0","?","?","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","?","0","0","0","0","?","0","0","?","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","?","0","1","0","0","0","0","0","0","1","?","0","?","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0"
"1215","miya1266","0","NA","0","0","NA","NA","NA","NA","NA","NA","0","0","NA","0","0","1","0","NA","0","1","1","NA","1","0","0","0","NA","0","1","0","0","0","0","0","0","0","0","?","?","0","0","0","1","0","NA","NA","NA","0","1","0","0","1","NA","NA","?","?","?","NA","0","0","1","NA","NA","NA","NA","0","NA","NA","0","NA","1","NA","1","1","1","NA","0","0","NA","0","1","NA","1","NA","?","1","1","1","NA","0","0","1","0","1","1","NA","0","non-bound","NA","NA","NA","0","0","0","0","1","0","1","0","decimal system","0","0","1","0","1","1","0","?","?","0","1","1","1","1","1","1","1","0","0","0","1","0","?","?","1","1","1","1","0","0","1","neither","1","0","1","?","2","1","2","NA","NA","2","0","0","1","0","2","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","1","0","1","1","0","0","0","0","0","1","2","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","?","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","?","?","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","1","0","1","0","0","0","?","0","3","1","0","0","2","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","?","?","?","1","0","0","1","?","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","1"
"1216","mlah1239","0","NA","1","1","NA","1","1","1","1","NA","0","0","?","1","0","1","0","?","0","0","0","?","1","0","0","0","?","?","1","0","0","0","0","?","0","0","1","1","NA","0","?","0","0","?","?","?","?","?","?","?","?","?","?","?","0","NA","?","0","?","?","0","NA","NA","?","?","?","?","?","1","0","0","1","1","1","1","1","NA","NA","NA","NA","NA","NA","1","NA","NA","1","1","1","NA","1","1","?","0","1","1","?","?","?","NA","NA","?","1","0","0","0","0","0","1","?","decimal system","0","0","0","?","1","1","?","1","0","1","1","1","1","1","1","1","1","1","0","?","1","?","?","?","1","1","?","1","?","1","?","?","1","?","?","?","?","2","2","1","?","?","1","0","1","0","?","2","?","?","0","1","0","0","0","0","0","0","0","1","0","0","0","?","?","?","1","0","0","0","?","?","1","2","?","0","0","0","0","0","1","0","1","0","0","1","1","1","1","1","0","1","0","?","0","0","0","0","0","0","0","1","?","0","0","0","1","?","1","?","0","1","?","0","0","0","?","?","?","?","?","0","1","0","1","1","?","?","1","?","?","?","?","?","1","0","0","0","0","0","?","?","?","?","?","0","0","?","1","1","0","0","1","1","1","?","?","0","?","0","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","0","0","?","?","?","0","1","1","?","?","0","0","0","0","0","0","0","0","?","?","?","?","?","?","?","?","1","0","0","0","0","?","0","0","1","0","1","0","?","?","1","0","0","1","0","0","0","1"
"1217","mmen1238","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","1","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","0","1","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","0","1","0","?","?","?","?","?","?","0","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"1218","moba1244","0","?","NA","NA","?","NA","NA","NA","NA","0","0","0","NA","NA","NA","NA","NA","NA","1","0","0","1","0","0","1","1","NA","NA","1","1","0","NA","NA","0","NA","0","1","?","NA","NA","1","0","0","1","NA","NA","NA","0","1","0","NA","NA","NA","NA","?","NA","?","1","1","1","0","?","?","NA","NA","0","?","?","0","NA","1","NA","NA","NA","NA","0","1","0","NA","0","1","1","1","?","NA","1","0","NA","1","NA","NA","NA","NA","NA","0","1","1","NA","?","1","NA","1","0","0","0","1","0","1","0","decimal system","1","1","1","?","0","1","0","?","0","1","1","1","1","0","0","1","1","0","?","0","0","1","1","0","1","1","0","1","1","0","1","?","1","0","1","noun-adj and noun-dem","2","2","NA","1","2","2","0","0","0","0","2","2","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","1","1","1","0","0","1","1","0","0","0","3","?","1","0","1","?","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","1","1","0","0","0","0","1","1","0","1","0","1","0","1","1","1","0","1","1","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","2","0","1","0","0","0","0","0","0","0","1","0","1","?","0","?","0","0","0","0","0","1","1","0","1","0","0","0","0","?","1","1","1","1","1","1","1","0","0","0","0","0","0","?","?","0","0","1","1","0","0","0","0","1","0","0","0","0","?","0","0","0","0","1","0","?","?","0","0","1","0","1","1","1","0"
